fecha,cierre.x,cierre.y,mep
2021-11-25,7020,34.74,202.0725388601036
2021-11-26,6860,34.1,201.17302052785922
2021-11-29,6749,33.96,198.73380447585393
2021-11-30,6736,33.36,201.91846522781776
2021-12-01,7130,35.04,203.48173515981736
2021-12-02,7270,35.6,204.2134831460674
2021-12-03,7599,37.15,204.54912516823688
2021-12-06,7587,37.29,203.45937248592116
2021-12-07,7665,38.21,200.60193666579428
2021-12-09,7480,38.01,196.79031833727967
2021-12-10,7269,36.9,196.9918699186992
2021-12-13,7240,37.05,195.41160593792173
2021-12-14,7270,37.6,193.35106382978722
2021-12-15,7120,37.15,191.65545087483176
2021-12-16,7180,36.91,194.52722839338935
2021-12-17,7160,36.2,197.79005524861876
2021-12-20,7102,35.52,199.9436936936937
2021-12-21,7186,35.75,201.006993006993
2021-12-22,7170,35.75,200.55944055944056
2021-12-23,7086,35.76,198.1543624161074
2021-12-27,7100,36.75,193.19727891156464
2021-12-28,7135,36.92,193.25568797399782
2021-12-29,7115,36.6,194.39890710382514
2021-12-30,7160,36.31,197.19085651335718
2022-01-03,7160,36.25,197.51724137931035
2022-01-04,7068,35.99,196.38788552375658
2022-01-05,7070,35.5,199.1549295774648
2022-01-06,6997,34.46,203.047011027278
2022-01-07,6922,34.09,203.05074801994718
