fecha,apertura,maximo,minimo,cierre,volumen,openint
"2021-01-29","5990.00000","6000","5900","5950.00000","22476250","0"
"2021-02-01","6140.00000","6140","5950","5999.50000","15642493","0"
"2021-02-02","6005.00000","6043.5","5965","5981.00000","22560956","0"
"2021-02-03","5970.00000","5998","5910","5955.00000","24715504","0"
"2021-02-04","5945.00000","6006","5945","5995.00000","33205364","0"
"2021-02-05","6020.00000","6100","5965","6035.00000","21216160","0"
"2021-02-08","6050.50000","6099.5","6015","6035.00000","26417778","0"
"2021-02-09","6030.00000","6038","5979.5","5986.00000","28411298","0"
"2021-02-10","5995.00000","6002","5950","5965.00000","27744044","0"
"2021-02-11","5950.00000","6000","5850","5870.00000","24540196","0"
"2021-02-12","5870.00000","5892","5805","5830.00000","22562266","0"
